CustomerID,Recency,Frequency,Monetary,Tenure,ReturnRate,Churn,Churn_Probability,Retention_Action
12346,256,1,77183.6,0,1,1,0.822213876,High Risk – Personal Call + 30% Discount
12347,60,5,2790.86,237,0,0,0.29411801,No Action
12348,6,4,1797.24,282,0,1,0.303080689,No Action
12350,240,1,334.4,0,0,1,0.739068891,Medium Risk – 15% Discount Email
12352,3,7,2194.31,224,0.161369193,0,0.187436358,No Action
12353,134,1,89,0,0,1,0.672947334,Medium Risk – 15% Discount Email
12354,163,1,1079.4,0,0,1,0.691589452,Medium Risk – 15% Discount Email
12355,145,1,459.4,0,0,1,0.680088874,Medium Risk – 15% Discount Email
12356,176,2,2753.08,80,0,0,0.616417277,Medium Risk – 15% Discount Email
12358,81,1,484.86,0,0,0,0.636673232,Medium Risk – 15% Discount Email
12359,120,3,3495.73,141,0.004145078,0,0.49045626,Low Risk – Engagement Campaign
12360,43,2,1618.28,88,0,0,0.516006838,Low Risk – Engagement Campaign
12361,218,1,189.9,0,0,1,0.726104809,Medium Risk – 15% Discount Email
12362,3,5,2577.34,223,0.007968127,0,0.264212736,No Action
12363,40,2,552,132,0,1,0.499586523,Low Risk – Engagement Campaign
12364,8,2,703.72,34,0,0,0.507834598,Low Risk – Engagement Campaign
12365,222,2,641.38,0,0.005747126,1,0.673853498,Medium Risk – 15% Discount Email
12370,205,3,2802.66,85,0,0,0.572320461,Low Risk – Engagement Campaign
12372,2,3,1298.04,224,0,1,0.376774466,No Action
12373,242,1,364.6,0,0,1,0.740222509,Medium Risk – 15% Discount Email
12375,29,1,230.3,0,0,0,0.599739747,Low Risk – Engagement Campaign
12377,246,2,1628.12,39,0,1,0.677369799,Medium Risk – 15% Discount Email
12378,60,1,4008.62,0,0,1,0.620611655,Medium Risk – 15% Discount Email
12379,12,2,852.24,88,0.002457002,1,0.49325757,Low Risk – Engagement Campaign
12380,8,2,1233.56,107,0,0,0.483461569,Low Risk – Engagement Campaign
12381,50,1,1268.74,0,0.044014085,0,0.620301684,Medium Risk – 15% Discount Email
12383,115,5,1850.56,167,0.001958225,1,0.351107669,No Action
12384,52,1,292.69,0,0.080645161,0,0.626887442,Medium Risk – 15% Discount Email
12386,268,2,401.9,29,0,1,0.694926127,Medium Risk – 15% Discount Email
12388,6,5,2494.26,251,0,0,0.25796768,No Action
12390,10,1,549.84,0,0,1,0.585777553,Low Risk – Engagement Campaign
12393,3,4,1582.6,260,0,1,0.307410719,No Action
12394,148,1,381.08,0,0,0,0.682081992,Medium Risk – 15% Discount Email
12395,43,8,1899.57,258,0.002455494,0,0.148868759,No Action
12397,66,1,1214.81,0,0,0,0.625873218,Medium Risk – 15% Discount Email
12399,50,4,1108.65,142,0,1,0.374411883,No Action
12401,234,1,84.3,0,0,1,0.735635914,Medium Risk – 15% Discount Email
12402,254,1,225.6,0,0,1,0.747167416,Medium Risk – 15% Discount Email
12405,79,1,1710.39,0,0,1,0.634838772,Medium Risk – 15% Discount Email
12406,114,1,1621.25,0,0.011349306,0,0.660422145,Medium Risk – 15% Discount Email
12407,64,4,1407.36,130,0,0,0.388020916,No Action
12408,29,4,2134.05,161,0.00862069,0,0.354654293,No Action
12409,9,3,11072.67,103,0.001441182,1,0.416765218,Low Risk – Engagement Campaign
12410,239,2,693.33,0,0.009478673,1,0.685462787,Medium Risk – 15% Discount Email
12412,5,3,1226.88,94,0,1,0.420216662,Low Risk – Engagement Campaign
12413,167,2,563.9,100,0.019512195,0,0.607068088,Medium Risk – 15% Discount Email
12414,148,3,562.41,93,0,1,0.527999467,Low Risk – Engagement Campaign
12415,30,15,102087.88,238,0.00460263,0,0.022836376,No Action
12417,37,7,2816.52,250,0.009764036,0,0.18475638,No Action
12418,43,1,668.58,0,0,1,0.609679806,Medium Risk – 15% Discount Email
12421,45,3,628.56,204,0.002457002,0,0.414701285,Low Risk – Engagement Campaign
12422,26,3,803.56,229,0,1,0.392532438,No Action
12423,31,7,1650.67,252,0.01056338,0,0.181983142,No Action
12424,93,2,1760.96,0,0,1,0.582083427,Low Risk – Engagement Campaign
12425,8,1,777.2,0,0,1,0.584227012,Low Risk – Engagement Campaign
12426,125,1,582.73,0,0,1,0.66677164,Medium Risk – 15% Discount Email
12427,302,1,303.5,0,0.113924051,0,0.784510814,Medium Risk – 15% Discount Email
12428,51,8,7548.12,163,0.009746013,0,0.168246195,No Action
12429,103,3,2844.88,193,0,0,0.460159392,Low Risk – Engagement Campaign
12431,50,11,4807.07,254,0.023832221,0,0.075773016,No Action
12432,101,3,4016.66,1,0,0,0.52168752,Low Risk – Engagement Campaign
12433,22,3,6395.23,282,0,0,0.371085465,No Action
12434,15,2,806.14,175,0.053299492,1,0.473870299,Low Risk – Engagement Campaign
12435,10,2,7829.89,188,0,1,0.455719576,Low Risk – Engagement Campaign
12436,30,1,509.01,0,0,1,0.600361301,Medium Risk – 15% Discount Email
12437,8,12,3034.01,253,0.002538071,0,0.052165749,No Action
12438,71,1,890.07,0,0,0,0.629516991,Medium Risk – 15% Discount Email
12441,297,1,173.55,0,0,1,0.770906948,Medium Risk – 15% Discount Email
12444,16,3,3189.81,85,0,0,0.430508601,Low Risk – Engagement Campaign
12447,174,1,476.49,0,0,1,0.698821434,Medium Risk – 15% Discount Email
12449,22,3,2724.58,95,0,0,0.431877098,Low Risk – Engagement Campaign
12450,87,2,197.88,17,0,1,0.572755975,Low Risk – Engagement Campaign
12451,148,2,5307.82,106,0.029232643,0,0.590940173,Low Risk – Engagement Campaign
12453,65,1,707.09,0,0,1,0.625349094,Medium Risk – 15% Discount Email
12455,4,6,2466.86,223,0,1,0.215963938,No Action
12456,62,2,2265.4,123,0.01584343,0,0.520717291,Low Risk – Engagement Campaign
12457,12,6,2166.88,157,0.137037037,0,0.24963906,No Action
12458,2,2,947.4,213,0,1,0.444166683,Low Risk – Engagement Campaign
12461,24,2,826.88,60,0,1,0.511249558,Low Risk – Engagement Campaign
12462,234,1,762.11,0,0.013937282,0,0.736949424,Medium Risk – 15% Discount Email
12463,106,3,985.79,66,0.010398614,0,0.506568927,Low Risk – Engagement Campaign
12464,37,6,780.55,203,0,0,0.23855032,No Action
12465,100,1,440.94,0,0,0,0.649848631,Medium Risk – 15% Discount Email
12468,118,2,729.54,128,0.005464481,1,0.560176853,Low Risk – Engagement Campaign
12471,8,21,11744.76,286,0.033984707,0,0.004897172,No Action
12472,69,5,4927.6,230,0.036593264,0,0.305378617,No Action
12473,45,2,1175.75,77,0.085580305,0,0.53327042,Low Risk – Engagement Campaign
12474,29,13,4362.06,231,0.018942102,0,0.044618777,No Action
12476,15,7,3725.27,276,0.018223235,0,0.170518297,No Action
12477,31,3,8834.03,200,0.013105639,0,0.404155788,Low Risk – Engagement Campaign
12480,74,3,2144.95,192,0,0,0.439094498,Low Risk – Engagement Campaign
12481,110,8,4085.26,186,0.005954913,0,0.190420495,No Action
12483,29,6,1624.06,240,0.006313131,0,0.225907222,No Action
12484,31,4,3658.65,235,0.002692515,0,0.332633132,No Action
12488,6,1,553.39,0,0,0,0.582843513,Low Risk – Engagement Campaign
12489,267,1,334.93,0,0,1,0.754477107,Medium Risk – 15% Discount Email
12490,24,6,3552.59,236,0,0,0.223070182,No Action
12492,36,1,126.39,0,0,0,0.604839348,Medium Risk – 15% Discount Email
12493,96,2,433.74,31,0.004830918,1,0.575436871,Low Risk – Engagement Campaign
12494,92,5,868.86,204,0.032967033,0,0.328774117,No Action
12497,12,1,1043.1,0,0,1,0.58705776,Low Risk – Engagement Campaign
12500,37,6,1773.84,227,0,0,0.23255064,No Action
12501,267,1,2169.39,0,0.034212002,1,0.757491987,Medium Risk – 15% Discount Email
12502,26,5,3723.87,214,0,1,0.279073063,No Action
12506,163,1,73.5,0,0,1,0.691919313,Medium Risk – 15% Discount Email
12507,64,3,1304.81,164,0.012304251,1,0.442814622,Low Risk – Engagement Campaign
12509,215,1,176.5,0,0,1,0.724304284,Medium Risk – 15% Discount Email
12510,73,2,982.57,182,0,1,0.507764489,Low Risk – Engagement Campaign
12513,43,1,612.29,0,0.012987013,1,0.611430218,Medium Risk – 15% Discount Email
12514,197,1,1017.68,0,0,1,0.713058738,Medium Risk – 15% Discount Email
12515,284,1,383.7,0,0,1,0.76384474,Medium Risk – 15% Discount Email
12516,8,2,1312.06,102,0,1,0.485085668,Low Risk – Engagement Campaign
12517,4,3,1938.65,116,0,0,0.412136327,Low Risk – Engagement Campaign
12518,8,2,849.73,33,0,0,0.508109569,Low Risk – Engagement Campaign
